,EventTime,Origin,Destination,n
1,2020.0019800000002,South Africa,Namibia,9
2,1987.9602200000002,South Africa,Madagascar,9
3,1958.0019900000002,South Africa,Democratic Republic of the Congo,9
4,1982.0019800000002,South Africa,Central African Republic,9
5,1964.5231500000002,South Africa,Russia,9
6,2003.38082,Russia,Romania,1
7,2014.53761,Romania,Italy,3
8,2021.2448600000002,Romania,Russia,3
9,2017.0019900000002,Romania,Hungary,3
10,1978.2072000000003,South Africa,Senegal,9
11,1980.0019900000002,Senegal,Ukraine,1
12,2020.0019800000002,South Africa,Namibia,9
13,1989.9742600000002,South Africa,Uganda,9
14,2016.3749300000002,Uganda,Zambia,1
15,1999.4374400000002,South Africa,Hungary,9
16,2010.0019800000002,Hungary,Serbia,20
17,2006.0774600000002,Hungary,Serbia,20
18,2012.7477800000001,Serbia,Bulgaria,1
19,2018.6691100000003,Bulgaria,Kosovo,2
20,2018.6444500000002,Bulgaria,Greece,2
21,2006.5665000000001,Hungary,Greece,20
22,2016.61939,Hungary,Greece,20
23,2023.7787,Hungary,Italy,20
24,2014.0131000000001,Hungary,Serbia,20
25,2018.66912,Hungary,Greece,20
26,2017.75131,Hungary,Belgium,20
27,2018.8773400000002,Hungary,Slovakia,20
28,2018.6444600000002,Hungary,Slovenia,20
29,2017.1561900000002,Hungary,Serbia,20
30,2012.8945400000002,Hungary,Serbia,20
31,2022.7513000000001,Hungary,Poland,20
32,2019.5841800000003,Hungary,Greece,20
33,2016.3409100000001,Hungary,Kosovo,20
34,2012.6516700000002,Hungary,Greece,20
35,2018.58418,Greece,Bulgaria,1
36,2002.43233,Hungary,Austria,20
37,2021.58419,Austria,Hungary,23
38,2018.1256400000002,Austria,Germany,23
39,2011.5261600000001,Austria,Serbia,23
40,2010.74872,Austria,Slovakia,23
41,2017.0019900000002,Slovakia,Hungary,2
42,2018.0019900000002,Austria,Slovenia,23
43,2013.60336,Austria,Czech Republic,23
44,2017.8508800000002,Austria,Germany,23
45,2019.6910200000002,Austria,Germany,23
46,2013.60335,Austria,Czech Republic,23
47,2019.38787,Austria,Netherlands,23
48,2013.4579800000001,Austria,Hungary,23
49,2018.5293900000001,Hungary,Serbia,20
50,2018.5293900000001,Hungary,Serbia,20
51,2013.0019900000002,Austria,Slovakia,23
52,2011.6691200000002,Austria,Italy,23
53,2019.6526700000002,Austria,Germany,23
54,2014.1720400000002,Austria,Germany,23
55,2011.7790100000002,Austria,Slovakia,23
56,2018.0581000000002,Slovakia,Germany,2
57,2013.6033600000003,Austria,Czech Republic,23
58,2023.0019900000002,Austria,Hungary,23
59,2018.6663800000001,Austria,Germany,23
60,2013.60336,Austria,Czech Republic,23
61,2016.2247200000002,Austria,Germany,23
62,2014.0971800000002,Austria,Hungary,23
63,2016.3881300000003,Hungary,Germany,20
64,2007.52067,Austria,Italy,23
65,2015.2870000000003,Italy,France,7
66,2022.6691200000002,Italy,Switzerland,7
67,2022.6691200000002,Italy,Switzerland,7
68,2022.5841800000003,Italy,Switzerland,7
69,2021.4256400000002,Italy,Switzerland,7
70,2016.3865400000002,Italy,Spain,7
71,2018.5841800000003,Italy,Germany,7
