name,date,Geo_Location,country,Host,Tissue_Specimen_Source,access_country
HM152775,2000,Israel,Israel,Homo sapiens,,"HM152775	|	Israel"
GU011992,2009,Italy,Italy,Homo sapiens,,"GU011992	|	Italy"
GQ379160,2006/02/01,Argentina,Argentina,Equus caballus,brain,"GQ379160	|	Argentina"
GQ379161,2006/02/01,Argentina,Argentina,Equus caballus,brain,"GQ379161	|	Argentina"
FJ766331,2007/10/01,Spain,Spain,Aquila chrysaetos,,"FJ766331	|	Spain"
FJ766332,2007/10/01,Spain,Spain,Aquila chrysaetos,,"FJ766332	|	Spain"
FJ483548,2008,Italy,Italy,Corvidae,,"FJ483548	|	Italy"
FJ483549,2008,Italy,Italy,Corvidae,,"FJ483549	|	Italy"
AM404308,1971,Portugal,Portugal,,,"AM404308	|	Portugal"
EU081844,1951,Egypt,Egypt,,,"EU081844	|	Egypt"
DQ786572,2004/10/18,France,France,Passer domesticus,"brain, cell","DQ786572	|	France"
DQ786573,2004/10/21,France,France,Pica pica,"brain, cell","DQ786573	|	France"
DQ118127,2003,Hungary,Hungary,Anatidae,,"DQ118127	|	Hungary"
DQ411029,2001,Russia,Russia,Phalacrocorax carbo,,"DQ411029	|	Russia"
DQ411030,2001,Russia,Russia,Hyalomma marginatum,,"DQ411030	|	Russia"
DQ411031,2001,Russia,Russia,Corvus cornix,,"DQ411031	|	Russia"
DQ411032,2001,Russia,Russia,Columba livia,,"DQ411032	|	Russia"
DQ411033,2001,Russia,Russia,Phalacrocorax carbo,,"DQ411033	|	Russia"
DQ411034,2001,Russia,Russia,Anopheles messeae,,"DQ411034	|	Russia"
DQ411035,2001,Russia,Russia,Anopheles messeae,,"DQ411035	|	Russia"
DQ374650,2001,Russia,Russia,Phalacrocorax carbo,,"DQ374650	|	Russia"
DQ374651,2001,Russia,Russia,Pica pica,,"DQ374651	|	Russia"
DQ374652,2001,Russia,Russia,Corvus cornix,,"DQ374652	|	Russia"
DQ374653,2001,Russia,Russia,Corvus cornix,,"DQ374653	|	Russia"
DQ377178,2001,Russia,Russia,Hyalomma marginatum,,"DQ377178	|	Russia"
DQ377179,2001,Russia,Russia,Corvus frugilegus,,"DQ377179	|	Russia"
DQ377180,2001,Russia,Russia,Phalacrocorax carbo,,"DQ377180	|	Russia"
AY603654,1976,Ethiopia,Ethiopia,,,"AY603654	|	Ethiopia"
AY701412,1996,Morocco,Morocco,Equus caballus,brain,"AY701412	|	Morocco"
AY701413,2003,Morocco,Morocco,Equus caballus,brain,"AY701413	|	Morocco"
AY490240,1950,China,China,,,"AY490240	|	China"
AY277252,1999,"Russia: Volgograd, low Volga",Russia,,brain,"AY277252	|	Russia"
